phase,id,block,contentCorrections,preLen,postLen,charsRemoved,refusalLang,missingFact,citeCount,suspectCount
baseline,base-001,0,0,4466,4466,0,0,0,6,2
baseline,base-002,0,0,5165,5165,0,0,0,2,0
baseline,base-003,0,1,2962,3137,0,0,0,3,0
baseline,base-004,0,0,8619,8619,0,0,0,4,0
baseline,base-005,0,1,4425,3670,755,0,0,2,2
baseline,base-006,0,0,8999,8999,0,0,0,7,0
baseline,base-007,0,0,4460,4460,0,0,0,3,0
baseline,base-008,0,0,2638,2638,0,0,0,2,0
baseline,base-009,0,2,2764,3027,0,0,0,4,0
baseline,base-010,0,0,8520,8520,0,0,0,41,0
baseline,base-011,0,0,1748,1748,0,0,0,4,0
baseline,base-012,0,0,4336,4336,0,0,0,4,0
baseline,base-013,0,0,3972,3972,0,0,0,3,0
baseline,base-014,0,2,9215,8039,1176,0,0,13,11
baseline,base-015,0,1,12313,9786,2527,0,0,5,0
baseline,base-016,0,2,4066,3398,668,0,0,11,0
baseline,base-017,0,0,9527,9527,0,0,0,11,2
baseline,base-018,0,0,6753,6753,0,0,0,5,0
baseline,base-019,0,0,5589,5589,0,0,0,4,0
baseline,base-020,0,0,5484,5484,0,0,0,3,0
baseline,base-021,0,2,7107,6726,381,0,0,6,1
baseline,base-022,0,1,7625,7427,198,0,0,32,0
baseline,base-023,0,2,8046,7200,846,0,0,6,4
baseline,base-024,0,0,9436,9436,0,0,0,6,0
baseline,base-025,0,0,2297,2297,0,0,0,3,0
baseline,base-026,0,0,3854,3854,0,0,0,17,0
baseline,base-027,0,2,4412,3911,501,0,0,2,2
baseline,base-028,0,0,4756,4756,0,0,0,6,0
baseline,base-029,0,1,10757,9984,773,0,0,10,3
baseline,base-030,0,0,8073,8073,0,0,0,7,0
phase2,p2-001,0,0,11628,11628,0,0,0,5,0
phase2,p2-002,0,0,8862,8862,0,0,0,4,1
phase2,p2-003,0,0,12174,12174,0,0,0,7,0
phase2,p2-004,0,1,10034,8931,1103,0,0,3,0
phase2,p2-005,0,0,9077,9077,0,0,0,4,0
phase2,p2-006,0,0,9556,9556,0,0,0,4,0
phase2,p2-007,0,0,7438,7438,0,0,0,6,0
phase2,p2-008,0,1,8673,7100,1573,0,0,6,0
phase2,p2-009,0,0,9478,9478,0,0,0,4,0
phase2,p2-010,0,0,9736,9736,0,0,0,5,0
phase2,p2-011,0,0,13416,13416,0,0,0,7,0
phase2,p2-012,0,0,5808,5808,0,0,0,2,0
phase2,p2-013,0,0,5109,5109,0,0,0,5,0
phase2,p2-014,0,1,19512,17689,1823,0,0,4,0
phase2,p2-015,0,0,10449,10449,0,0,0,9,0
phase2,p2-016,0,0,3695,3695,0,0,0,4,0
phase2,p2-017,0,0,8646,8646,0,0,0,2,0
phase2,p2-018,0,0,5226,5226,0,0,0,2,0
phase2,p2-019,0,1,8186,7740,446,0,0,3,1
phase2,p2-020,0,2,15758,13858,1900,0,1,7,2
phase2,p2-021,0,1,6803,6392,411,0,0,3,1
phase2,p2-022,0,0,4845,4845,0,0,0,0,0
phase2,p2-023,0,2,10920,8970,1950,0,0,10,2
phase2,p2-024,0,3,14029,12796,1233,0,0,12,5
phase2,p2-025,0,1,8052,7545,507,0,0,6,2
phase2,p2-026,0,0,3038,3038,0,0,0,4,0
phase2,p2-027,0,1,8764,7927,837,0,0,13,5
phase2,p2-028,0,0,13679,13679,0,0,0,9,4
phase2,p2-029,0,1,10636,9098,1538,0,0,7,0
phase2,p2-030,0,0,8751,8751,0,0,0,8,0
phase2,p2-031,0,0,9767,9767,0,0,0,2,0
phase2,p2-032,0,1,10001,8596,1405,0,0,6,1
phase2,p2-033,0,1,11421,10047,1374,0,0,7,0
phase2,p2-034,0,1,11855,10481,1374,0,0,8,0
phase2,p2-035,0,0,8356,8356,0,0,0,1,0
phase2,p2-036,0,0,10336,10336,0,0,0,11,0
phase2,p2-037,0,2,8642,8246,396,0,0,13,7
phase2,p2-038,0,3,4718,4654,64,0,0,7,2
phase2,p2-039,0,0,6732,6732,0,0,0,8,0
phase2,p2-040,0,0,9157,9157,0,0,0,9,0
phase2,p2-041,0,0,1814,1814,0,0,0,1,0
phase2,p2-042,0,2,7635,6585,1050,0,0,7,2
phase2,p2-043,0,0,3340,3340,0,0,0,2,0
phase2,p2-044,0,0,4031,4031,0,0,0,4,0
phase2,p2-045,0,0,8044,8044,0,0,1,4,0
phase2,p2-046,0,1,6568,5925,643,0,0,1,1
phase2,p2-047,0,1,7380,6914,466,0,0,4,1
phase2,p2-048,0,0,7502,7502,0,0,0,5,0
phase2,p2-049,0,0,5800,5800,0,0,0,6,0
phase2,p2-050,0,1,5841,4983,858,0,0,3,1
phase2,p2-051,0,2,6754,5823,931,0,0,9,5
phase2,p2-052,0,0,6007,6007,0,0,0,7,1
phase2,p2-053,0,0,8223,8223,0,0,0,2,0
phase2,p2-054,0,0,2278,2278,0,0,0,4,0
phase2,p2-055,0,0,4851,4851,0,0,0,24,3
phase2,p2-056,0,1,8738,8723,15,0,0,43,0
phase2,p2-057,0,0,10113,10113,0,0,0,4,0
phase2,p2-058,0,0,8972,8972,0,0,1,27,0
phase2,p2-059,0,0,8342,8342,0,0,0,9,0
phase2,p2-060,0,0,9096,9096,0,0,0,16,0
phase2,p2-061,0,0,10365,10365,0,0,0,5,0
phase2,p2-062,0,0,10130,10130,0,0,0,35,0
phase2,p2-063,0,1,9997,9457,540,0,0,0,0
phase2,p2-064,0,0,11402,11402,0,0,0,23,0
phase2,p2-065,0,0,5870,5870,0,0,0,24,1
phase2,p2-066,0,0,4957,4957,0,0,0,4,0
phase2,p2-067,0,0,8431,8431,0,0,0,26,0
phase2,p2-068,0,0,6679,6679,0,0,0,18,0
phase2,p2-069,0,0,8052,8052,0,0,0,8,0
phase2,p2-070,0,0,6776,6776,0,0,0,21,0
phase2,p2-071,0,1,5269,3604,1665,0,0,2,1
phase2,p2-072,0,1,7189,5929,1260,0,0,4,1
phase2,p2-073,0,0,7405,7405,0,0,0,4,0
phase2,p2-074,0,0,7796,7796,0,0,0,0,0
phase2,p2-075,0,2,11097,10177,920,0,0,9,1
phase2,p2-076,0,1,2342,2493,0,0,0,3,2
phase2,p2-077,0,2,9016,7683,1333,0,0,6,4
phase2,p2-078,0,0,9845,9845,0,0,0,2,0
phase2,p2-079,0,1,12088,10691,1397,0,0,5,2
phase2,p2-080,0,0,6762,6762,0,0,0,8,0
phase2,p2-081,0,2,9368,8161,1207,0,0,4,2
phase2,p2-082,0,2,8844,7361,1483,0,0,3,2
phase2,p2-083,0,0,11224,11224,0,0,0,0,0
phase2,p2-084,0,2,7260,5957,1303,0,0,3,3
phase2,p2-085,0,0,5197,5197,0,0,0,4,0
phase2,p2-086,0,0,10782,10782,0,0,0,1,1
phase2,p2-087,0,0,5766,5766,0,0,0,8,0
phase2,p2-088,0,1,8571,7926,645,0,0,5,1
phase2,p2-089,0,0,4937,4937,0,0,0,3,0
phase2,p2-090,0,1,12781,12241,540,0,0,3,2
phase2,p2-091,0,2,13274,12531,743,0,0,9,4
